Date,Open,High,Low,Close,Adj Close,Volume
24/03/2020,2344.439941,2449.709961,2344.439941,2447.330078,2447.330078,7547350000
25/03/2020,2457.77002,2571.419922,2407.530029,2475.560059,2475.560059,8285670000
26/03/2020,2501.290039,2637.01001,2500.719971,2630.070068,2630.070068,7753160000
27/03/2020,2555.870117,2615.909912,2520.02002,2541.469971,2541.469971,6194330000
30/03/2020,2558.97998,2631.800049,2545.280029,2626.649902,2626.649902,5746220000
31/03/2020,2614.689941,2641.389893,2571.149902,2584.590088,2584.590088,6568290000
01/04/2020,2498.080078,2522.75,2447.48999,2470.5,2470.5,5947900000
02/04/2020,2458.540039,2533.219971,2455.790039,2526.899902,2526.899902,6454990000
03/04/2020,2514.919922,2538.179932,2459.959961,2488.649902,2488.649902,6087190000
06/04/2020,2578.280029,2676.850098,2574.570068,2663.679932,2663.679932,6391860000
07/04/2020,2738.649902,2756.889893,2657.669922,2659.409912,2659.409912,7040720000
08/04/2020,2685,2760.75,2663.300049,2749.97998,2749.97998,5856370000
09/04/2020,2776.98999,2818.570068,2762.360107,2789.820068,2789.820068,7880140000
13/04/2020,2782.459961,2782.459961,2721.169922,2761.629883,2761.629883,5274310000
14/04/2020,2805.100098,2851.850098,2805.100098,2846.060059,2846.060059,5567400000
15/04/2020,2795.639893,2801.879883,2761.540039,2783.360107,2783.360107,5203390000
16/04/2020,2799.340088,2806.51001,2764.320068,2799.550049,2799.550049,5179990000
17/04/2020,2842.429932,2879.219971,2830.879883,2874.560059,2874.560059,5792140000
20/04/2020,2845.620117,2868.97998,2820.429932,2823.159912,2823.159912,5220160000
21/04/2020,2784.810059,2785.540039,2727.100098,2736.560059,2736.560059,5075830000
22/04/2020,2787.889893,2815.100098,2775.949951,2799.310059,2799.310059,5049660000
23/04/2020,2810.419922,2844.899902,2794.26001,2797.800049,2797.800049,5756520000
